plugin,category, status
completion-nvim,editing,done
neoformat,editing,done
nvim-lspconfig,editing,done
nvim-treesitter,editing,done
telescope-nvim,extension,todo
vim-vsnip,editing,done
which-key-nvim,other,todo
conjure,extension,todo
lightspeed-nvim,editing,done
nvim-autopairs,editing,done
nvim-treesitter-refactor,editing,done
supertab,editing,done
vim-surround,editing,done
auto-session,misc,todo
friendly-snippets,editing,done
lsp-rooter-nvim,misc,todo
minimap-vim,extension,todo
nvim-lightbulb,editing,done
nvim-treesitter-context,editing,done
nvim-ts-rainbow,editing,done
gitsigns-nvim,editing,done
glow-nvim,extension,todo
neogit,extension,todo
nvim-toggleterm-lua,extension,todo
vim-test,extension,todo
galaxyline-nvim,ui,todo
nvim-base16,ui,todo
nvim-web-devicons,ui,todo
